"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"286",9,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+17"
"287",9,"Marvin Mims Jr.",DEN,"WR101","10","3 out of 5","4 out of 5","2 out of 5 stars","-"
"288",9,"Adam Randall",BAL,"RB85","13","3 out of 5","4 out of 5","3 out of 5 stars","+29"
"289",9,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-74"
"290",9,"Emari Demercado",KC,"RB86","5","1 out of 5","5 out of 5","3 out of 5 stars","-"
"291",9,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-31"
"292",9,"Brashard Smith",KC,"RB87","5","-","-","3 out of 5 stars","-"
"293",9,"Devin Singletary",NYG,"RB88","8","1 out of 5","5 out of 5","4 out of 5 stars","-24"
"294",9,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-28"
"295",9,"Cyrus Allen",KC,"WR102","5","4 out of 5","4 out of 5","2 out of 5 stars","-85"
"296",9,"Trevor Etienne",CAR,"RB89","5","-","-","1 out of 5 stars","-"
"297",9,"Trey Benson",ARI,"RB90","14","1 out of 5","5 out of 5","2 out of 5 stars","+8"
"298",10,"Hollywood Brown",PHI,"WR103","10","-","-","4 out of 5 stars","-"
"299",10,"Tahj Brooks",CIN,"RB91","6","-","-","2 out of 5 stars","-"
"300",10,"Kyle Williams",NE,"WR104","11","-","-","2 out of 5 stars","-"
"301",10,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-"
"302",10,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","-"
"303",10,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","-29"
"304",10,"Kaleb Johnson",PIT,"RB92","9","2 out of 5","5 out of 5","2 out of 5 stars","-8"
"305",10,"Isaac Guerendo",SF,"RB93","8","-","-","2 out of 5 stars","-"
