Avg. ADP,Player,Pos,Vegas Proj.,FP Proj.,Difference
250.0,Jared Wiley,TE,3.00,10.30,-7.30
250.0,Gardner Minshew,QB,10.90,10.10,0.80
250.0,Sam Howell,QB,17.00,9.80,7.20
250.0,Greg Dulcich,TE,3.00,9.80,-6.80
250.0,Joe Milton,QB,13.70,9.70,4.00
250.0,Jeff Wilson,RB,2.40,9.40,-7.00
250.0,Hassan Haskins,RB,4.60,9.40,-4.80
250.0,Durham Smythe,TE,4.50,9.40,-4.90
250.0,Tyson Bagent,QB,13.08,9.20,3.88
250.0,Chris Manhertz,TE,3.00,9.10,-6.10
250.0,David Bell,WR,9.00,9.00,0.00
250.0,Eric Saubert,TE,5.90,9.00,-3.10
250.0,Mitchell Trubisky,QB,12.00,8.90,3.10
250.0,Derius Davis,WR,2.80,8.90,-6.10
250.0,Jarrett Stidham,QB,12.20,8.80,3.40
250.0,Nick Mullens,QB,12.76,8.80,3.96
250.0,Dante Pettis,WR,3.80,8.80,-5.00
250.0,Cooper Rush,QB,12.08,8.70,3.38
250.0,Davis Mills,QB,11.66,8.60,3.06
250.0,Deuce Vaughn,RB,4.30,8.60,-4.30
250.0,Tanner McKee,QB,12.90,8.40,4.50
250.0,Drew Lock,QB,11.80,8.30,3.50
250.0,Tez Johnson,WR,5.40,8.30,-2.90
250.0,Andy Dalton,QB,12.08,8.20,3.88
250.0,LeQuint Allen,RB,13.90,8.10,5.80
250.0,Tyquan Thornton,WR,2.10,8.10,-6.00
250.0,Brandon Allen,QB,11.60,7.80,3.80
250.0,Jonathan Mingo,WR,4.80,7.80,-3.00
250.0,Quinn Ewers,QB,12.40,7.40,5.00
250.0,Mecole Hardman,WR,1.80,7.40,-5.60
250.0,Justin Watson,WR,3.20,7.40,-4.20
250.0,Jordan Watkins,WR,5.60,7.30,-1.70
250.0,Charlie Jones,WR,3.60,7.10,-3.50
250.0,Davis Allen,TE,3.00,7.10,-4.10
250.0,Trey Lance,QB,13.50,7.00,6.50
250.0,Xavier Gipson,WR,11.20,7.00,4.20
250.0,Will Mallory,TE,2.90,7.00,-4.10
250.0,Eric Gray,RB,3.40,6.90,-3.50
250.0,Mo AlieCox,TE,3.00,6.80,-3.80
250.0,Deshaun Watson,QB,13.10,6.70,6.40
250.0,Kyle Trask,QB,11.92,6.50,5.42
250.0,Jashaun Corbin,RB,4.20,6.50,-2.30
